src,tar
apartment_1165010710,reputation_92
apartment_1165010711,reputation_156
apartment_1165010709,reputation_95
apartment_1165010643,reputation_59
apartment_1165010860,reputation_178
apartment_1165010638,reputation_58
apartment_1165010714,reputation_89
apartment_1165010857,reputation_170
apartment_1165010851,reputation_109
apartment_1165010703,reputation_154
apartment_1165010717,reputation_91
apartment_1165010312,reputation_50
apartment_1165010849,reputation_115
apartment_1165010307,reputation_39
apartment_1165010726,reputation_173
apartment_1165010706,reputation_162
apartment_1165010648,reputation_169
apartment_1165010646,reputation_54
apartment_1165010802,reputation_159
apartment_1165010140,reputation_180
apartment_1165010713,reputation_163
apartment_1165010603,reputation_166
apartment_1165010803,reputation_106
apartment_1165010852,reputation_144
apartment_1165010604,reputation_164
apartment_1165010725,reputation_172
apartment_1165010854,reputation_146
apartment_1165010855,reputation_161
apartment_1165010811,reputation_142
apartment_1165010201,reputation_36
apartment_1165010619,reputation_66
apartment_1165010311,reputation_42
apartment_1165010602,reputation_157
apartment_1165010116,reputation_34
apartment_1165010109,reputation_11
apartment_1165010804,reputation_130
apartment_1165010102,reputation_1
apartment_1165010829,reputation_134
apartment_1165011104,reputation_152
apartment_1165011102,reputation_150
apartment_1165010621,reputation_81
apartment_1165010626,reputation_76
apartment_1165010651,reputation_174
apartment_1165010801,reputation_103
apartment_1165010853,reputation_112
apartment_1165010810,reputation_158
apartment_1165010707,reputation_96
apartment_1165010615,reputation_51
apartment_1165010313,reputation_44
apartment_1165010808,reputation_145
apartment_1165010611,reputation_72
apartment_1165010633,reputation_60
apartment_1165010617,reputation_82
apartment_1165010138,reputation_168
apartment_1165010110,reputation_12
apartment_1165010314,reputation_43
apartment_1165010809,reputation_113
apartment_1165011101,reputation_149
apartment_1165010610,reputation_55
apartment_1165010827,reputation_110
apartment_1165010647,reputation_167
apartment_1165010828,reputation_104
apartment_1165010858,reputation_171
apartment_1165010718,reputation_90
apartment_1165010130,reputation_15
apartment_1165010608,reputation_86
apartment_1165010134,reputation_32
apartment_1165010123,reputation_21
apartment_1165010120,reputation_2
apartment_1165010820,reputation_135
apartment_1165010301,reputation_37
apartment_1165010721,reputation_97
apartment_1165010112,reputation_24
apartment_1165010302,reputation_38
apartment_1165010635,reputation_73
apartment_1165010310,reputation_47
apartment_1165010840,reputation_120
apartment_1165010118,reputation_6
apartment_1165010103,reputation_153
apartment_1165010104,reputation_31
apartment_1165010113,reputation_4
apartment_1165010117,reputation_5
apartment_1165010108,reputation_0
apartment_1165010105,reputation_18
apartment_1165010139,reputation_28
apartment_1165010308,reputation_40
apartment_1165010623,reputation_78
apartment_1165011103,reputation_151
apartment_1165010639,reputation_70
apartment_1165010848,reputation_155
apartment_1165010844,reputation_143
apartment_1165010724,reputation_179
apartment_1165010632,reputation_74
apartment_1165010845,reputation_140
apartment_1165010625,reputation_68
apartment_1165010830,reputation_114
apartment_1165010634,reputation_94
apartment_1165010627,reputation_87
apartment_1165010304,reputation_46
apartment_1165010303,reputation_45
apartment_1165010640,reputation_69
apartment_1165010833,reputation_121
apartment_1165010641,reputation_85
apartment_1165010846,reputation_116
apartment_1165010609,reputation_56
apartment_1165010841,reputation_125
apartment_1165010817,reputation_137
apartment_1165010616,reputation_61
apartment_1165010620,reputation_52
apartment_1165010807,reputation_108
apartment_1165010309,reputation_41
apartment_1165010618,reputation_75
apartment_1165010850,reputation_123
apartment_1165010805,reputation_133
apartment_1165010815,reputation_127
apartment_1165011105,reputation_148
apartment_1165010843,reputation_117
apartment_1165010701,reputation_93
apartment_1165010819,reputation_129
apartment_1165010135,reputation_17
apartment_1165010642,reputation_62
apartment_1165010119,reputation_16
apartment_1165010126,reputation_13
apartment_1165010812,reputation_141
apartment_1165010825,reputation_128
apartment_1165010816,reputation_102
apartment_1165010719,reputation_98
apartment_1165010107,reputation_22
apartment_1165010821,reputation_111
apartment_1165010720,reputation_100
apartment_1165010631,reputation_57
apartment_1165010818,reputation_131
apartment_1165010305,reputation_49
apartment_1165010202,reputation_35
apartment_1165010637,reputation_65
apartment_1165010122,reputation_19
apartment_1165010835,reputation_138
apartment_1165010806,reputation_107
apartment_1165010839,reputation_119
apartment_1165010716,reputation_101
apartment_1165010612,reputation_88
apartment_1165010133,reputation_27
apartment_1165010823,reputation_132
apartment_1165010129,reputation_165
apartment_1165010822,reputation_105
apartment_1165010614,reputation_67
apartment_1165010131,reputation_7
apartment_1165010128,reputation_8
apartment_1165010125,reputation_29
apartment_1165010712,reputation_99
apartment_1165010607,reputation_77
apartment_1165010606,reputation_63
apartment_1165010837,reputation_139
apartment_1165010101,reputation_23
apartment_1165010836,reputation_122
apartment_1165010826,reputation_118
apartment_1165010838,reputation_136
apartment_1165010306,reputation_48
apartment_1165010636,reputation_84
apartment_1165010628,reputation_80
apartment_1165010203,reputation_33
apartment_1165010111,reputation_14
apartment_1165010622,reputation_79
apartment_1165010124,reputation_30
apartment_1165010847,reputation_124
apartment_1165010121,reputation_20
apartment_1165010605,reputation_64
apartment_1165010630,reputation_71
apartment_1165010824,reputation_126
apartment_1165010132,reputation_25
apartment_1165010136,reputation_9
apartment_1165010127,reputation_26
apartment_1165010832,reputation_147
apartment_1165010834,reputation_160
apartment_1165010649,reputation_176
apartment_1165010705,reputation_177
apartment_1165010629,reputation_53
apartment_1165010624,reputation_83
apartment_1165010114,reputation_3
apartment_1165010115,reputation_10
apartment_1165010650,reputation_175
