good_surroundings,good_commute,good_raising,good_maintenance_cost,bad_maintenance_cost,uuid,apartment_uuid
12,32,65,52,17,reputation_92,apartment_1165010710
,,72,,,reputation_156,apartment_1165010711
,,48,,24,reputation_95,apartment_1165010709
,,,,,reputation_59,apartment_1165010643
,,7,,,reputation_178,apartment_1165010860
,,,,,reputation_58,apartment_1165010638
,1,41,,6,reputation_89,apartment_1165010714
,,,,,reputation_170,apartment_1165010857
,,3,,,reputation_109,apartment_1165010851
,5,,,23,reputation_154,apartment_1165010703
,,,,,reputation_91,apartment_1165010717
26,,56,,,reputation_50,apartment_1165010312
,,52,,,reputation_115,apartment_1165010849
,9,11,26,20,reputation_39,apartment_1165010307
5,,,,,reputation_173,apartment_1165010726
,,39,5,,reputation_162,apartment_1165010706
,,,,,reputation_169,apartment_1165010648
,,30,8,,reputation_54,apartment_1165010646
,1,12,,,reputation_159,apartment_1165010802
,,,,,reputation_180,apartment_1165010140
,,14,28,,reputation_163,apartment_1165010713
,,,,,reputation_166,apartment_1165010603
,,2,,,reputation_106,apartment_1165010803
,,,,109,reputation_144,apartment_1165010852
,,,,,reputation_164,apartment_1165010604
,,21,,,reputation_172,apartment_1165010725
,,,,,reputation_146,apartment_1165010854
,,33,,5,reputation_161,apartment_1165010855
,,,,,reputation_142,apartment_1165010811
,,63,,,reputation_36,apartment_1165010201
,,,,,reputation_66,apartment_1165010619
,,,,,reputation_42,apartment_1165010311
,,6,,7,reputation_157,apartment_1165010602
,1,1,16,,reputation_34,apartment_1165010116
,5,19,,,reputation_11,apartment_1165010109
,,,,15,reputation_130,apartment_1165010804
,,1,27,,reputation_1,apartment_1165010102
,,,,21,reputation_134,apartment_1165010829
,3,36,10,,reputation_152,apartment_1165011104
3,3,22,11,,reputation_150,apartment_1165011102
,,,,29,reputation_81,apartment_1165010621
,7,,,,reputation_76,apartment_1165010626
,,,,,reputation_174,apartment_1165010651
,,,,,reputation_103,apartment_1165010801
,,,,,reputation_112,apartment_1165010853
,,,,,reputation_158,apartment_1165010810
,,,,,reputation_96,apartment_1165010707
11,,18,,,reputation_51,apartment_1165010615
,,9,,,reputation_44,apartment_1165010313
,,13,24,,reputation_145,apartment_1165010808
,,,,9,reputation_72,apartment_1165010611
,,,,,reputation_60,apartment_1165010633
,,,,38,reputation_82,apartment_1165010617
,6,,,,reputation_168,apartment_1165010138
,,,6,,reputation_12,apartment_1165010110
,,2,18,,reputation_43,apartment_1165010314
,,,11,29,reputation_113,apartment_1165010809
,,48,,,reputation_149,apartment_1165011101
,,,27,,reputation_55,apartment_1165010610
,,44,,6,reputation_110,apartment_1165010827
,,4,,,reputation_167,apartment_1165010647
,,,,,reputation_104,apartment_1165010828
12,,,10,,reputation_171,apartment_1165010858
,,8,,,reputation_90,apartment_1165010718
,,,,8,reputation_15,apartment_1165010130
,,,8,,reputation_86,apartment_1165010608
,,3,,,reputation_32,apartment_1165010134
,,,,,reputation_21,apartment_1165010123
,,,10,,reputation_2,apartment_1165010120
,,,,,reputation_135,apartment_1165010820
,,,,,reputation_37,apartment_1165010301
,,,,,reputation_97,apartment_1165010721
,,,,16,reputation_24,apartment_1165010112
,,44,29,,reputation_38,apartment_1165010302
,,,,,reputation_73,apartment_1165010635
14,,,,,reputation_47,apartment_1165010310
,17,,96,,reputation_120,apartment_1165010840
,,,,18,reputation_6,apartment_1165010118
,,,,42,reputation_153,apartment_1165010103
,,,,,reputation_31,apartment_1165010104
9,,,,,reputation_4,apartment_1165010113
,,13,,,reputation_5,apartment_1165010117
,,,,,reputation_0,apartment_1165010108
,,,,,reputation_18,apartment_1165010105
,,,,,reputation_28,apartment_1165010139
,,39,,,reputation_40,apartment_1165010308
,,,,,reputation_78,apartment_1165010623
,15,,,,reputation_151,apartment_1165011103
,,,,,reputation_70,apartment_1165010639
,,,,,reputation_155,apartment_1165010848
,,,,11,reputation_143,apartment_1165010844
,,,,,reputation_179,apartment_1165010724
,,,,,reputation_74,apartment_1165010632
,,4,,,reputation_140,apartment_1165010845
,,,,,reputation_68,apartment_1165010625
,,4,5,,reputation_114,apartment_1165010830
,,,,,reputation_94,apartment_1165010634
,,,,,reputation_87,apartment_1165010627
,,53,,,reputation_46,apartment_1165010304
12,,7,,,reputation_45,apartment_1165010303
,,,,,reputation_69,apartment_1165010640
,,4,,,reputation_121,apartment_1165010833
,,,60,,reputation_85,apartment_1165010641
,,,,,reputation_116,apartment_1165010846
,,,,,reputation_56,apartment_1165010609
,15,,5,,reputation_125,apartment_1165010841
,,,,103,reputation_137,apartment_1165010817
,,,,,reputation_61,apartment_1165010616
,,,,4,reputation_52,apartment_1165010620
,,,,17,reputation_108,apartment_1165010807
,,6,,,reputation_41,apartment_1165010309
,,,,,reputation_75,apartment_1165010618
,,,,,reputation_123,apartment_1165010850
,,,20,24,reputation_133,apartment_1165010805
,11,19,7,21,reputation_127,apartment_1165010815
,,16,,,reputation_148,apartment_1165011105
,,,,,reputation_117,apartment_1165010843
,,20,,,reputation_93,apartment_1165010701
,,,,15,reputation_129,apartment_1165010819
,5,5,107,,reputation_17,apartment_1165010135
,,,,,reputation_62,apartment_1165010642
,,,9,,reputation_16,apartment_1165010119
,,,,,reputation_13,apartment_1165010126
